time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-06-02,8.125,48.125,12.298215,7.5895734,3.6343223e-05,0.3304333,58.23466926813125,291.53793
2008-06-03,8.125,48.125,11.930677,1.1513832,3.149092e-05,0.32970595,59.49231485525766,289.82108
2008-06-04,8.125,48.125,6.3189836,2.0634758,3.082349e-05,0.3238528,60.74996044238408,287.52216
2008-06-05,8.125,48.125,4.394575,27.678673,0.00016684903,0.34454376,62.00760602951049,287.19403
2008-06-06,8.125,48.125,7.5287004,24.065426,0.0002925111,0.37969032,63.2652516166369,287.5377
2008-06-07,8.125,48.125,5.5792294,8.602216,3.6532205e-05,0.38671213,64.52289720376332,285.6218
2008-06-08,8.125,48.125,12.352581,10.527158,4.3887023e-05,0.39021015,65.78054279088973,288.09067
2008-06-09,8.125,48.125,14.75463,2.1411946,2.9595081e-05,0.37888047,67.03818837801614,290.0394
2008-06-10,8.125,48.125,15.035051,12.364395,5.3741573e-05,0.37513554,67.80806239004487,291.31628
2008-06-11,8.125,48.125,9.714992,5.2293944,3.6021767e-05,0.37311727,68.5779364020736,289.62125
2008-06-12,8.125,48.125,11.053571,6.1493564,3.711771e-05,0.37098414,69.34781041410233,287.22147
2008-06-13,8.125,48.125,12.619516,1.2370268,2.8956587e-05,0.36627784,70.11768442613106,283.62634
2008-06-14,8.125,48.125,11.877328,0.39688793,2.7466669e-05,0.3555649,70.88755843815979,284.92578
2008-06-15,8.125,48.125,7.009149,3.1102288,3.0013178e-05,0.35075694,71.65743245018852,283.80893
2008-06-16,8.125,48.125,12.253942,1.6936705,3.070337e-05,0.35259953,72.42730646221725,285.4988
2008-06-17,8.125,48.125,6.9545894,1.1183062,2.8190794e-05,0.34739187,73.19718047424598,286.76434
2008-06-18,8.125,48.125,13.00432,0.14987935,2.6533115e-05,0.34395662,73.95819312444439,289.4907
2008-06-19,8.125,48.125,16.156971,0.00072054815,2.6297264e-05,0.33657393,74.71920577464279,291.55356
2008-06-20,8.125,48.125,12.83897,0.2559541,2.647681e-05,0.3248201,75.4802184248412,291.86542
2008-06-21,8.125,48.125,16.822605,-8.326673e-14,2.5626172e-05,0.3177107,76.24123107503961,293.5858
2008-06-22,8.125,48.125,14.959243,0.02284847,2.5429474e-05,0.30842844,77.00224372523802,296.7792
2008-06-23,8.125,48.125,12.891515,7.6082387,4.1248644e-05,0.31322607,77.76325637543641,295.09998
2008-06-24,8.125,48.125,14.071984,1.5821339,2.8345103e-05,0.31846255,78.52426902563482,294.6991
2008-06-25,8.125,48.125,15.198912,4.283329,2.9373754e-05,0.31715697,79.28528167583323,295.09122
2008-06-26,8.125,48.125,12.548214,0.09973403,2.4506524e-05,0.31252402,77.06593239197024,292.2809
2008-06-27,8.125,48.125,14.796487,0.19637641,2.4526578e-05,0.30534858,74.84658310810724,292.06128
2008-06-28,8.125,48.125,12.9792595,-8.326673e-14,2.3721264e-05,0.2990813,72.62723382424424,291.8116
2008-06-29,8.125,48.125,15.390127,0.07297635,2.3435665e-05,0.29044205,70.40788454038125,294.2525
2008-06-30,8.125,48.125,12.647695,0.20821382,2.3070614e-05,0.284829,68.18853525651825,293.32477
2008-07-01,8.125,48.125,15.3814945,0.25952896,2.2835036e-05,0.27979356,65.96918597265525,295.33737
2008-07-02,8.125,48.125,16.320938,0.062133137,2.2131448e-05,0.27271333,63.74983668879226,297.28278
2008-07-03,8.125,48.125,5.9053764,16.405127,4.6509605e-05,0.28254148,61.53048740492926,290.6451
2008-07-04,8.125,48.125,13.662922,0.17054658,2.1611368e-05,0.3014918,61.30042382412486,288.99023
2008-07-05,8.125,48.125,16.723446,0.0,2.0977895e-05,0.29166532,61.07036024332046,291.0786
2008-07-06,8.125,48.125,5.6149426,11.097612,3.2063184e-05,0.29592925,60.84029666251606,290.08463
2008-07-07,8.125,48.125,11.448188,0.24345715,2.0580312e-05,0.30716664,60.610233081711655,288.55292
2008-07-08,8.125,48.125,10.453849,3.3753867,2.4819064e-05,0.30399674,60.38016950090726,287.74893
2008-07-09,8.125,48.125,12.363165,0.41303423,2.025106e-05,0.30377063,60.15010592010286,289.91248
2008-07-10,8.125,48.125,16.659815,0.0,1.9611563e-05,0.29707664,59.920042339298455,294.08917
2008-07-11,8.125,48.125,13.066258,2.728597,2.2595592e-05,0.29240027,59.68997875849406,293.097
2008-07-12,8.125,48.125,7.6808977,4.2195406,2.3713008e-05,0.29753795,60.62497626300211,289.14172
2008-07-13,8.125,48.125,8.128453,11.066279,3.388232e-05,0.31061074,61.559973767510165,287.24905
2008-07-14,8.125,48.125,10.882255,1.8683403,1.9999046e-05,0.31581607,62.49497127201822,288.04147
2008-07-15,8.125,48.125,14.405959,0.0001915452,1.8166977e-05,0.30675268,63.429968776526266,290.47693
2008-07-16,8.125,48.125,13.252812,0.33997843,1.8440445e-05,0.29546243,64.36496628103433,291.98203
